Tweet,closed_probs,location
fire was contained about an hour ago!,0.992743655332264,
check out this video to help keep yourself and your family safe during wildfires #kincadefire ,0.9929391081184802,
an evacuation order has been issued for areas of northern sonoma county including geyserville city of healdsburg the town of windsor and surrounding areas get information about evacuation centers and resources: ,0.9896553935525418,
#newprofilepic,0.9809440026741888,
28 de octubre 8:23 pm 15% contenido 73324 acres quemados ver las zonas de evacuación en  ,0.995645505221222,
final update 10:49 pm canceling the balance some units to continue to search for the fire,0.9856429674278516,
fingers crossed that they can get those big guys up in the sky today!,0.9924519259421104,
sonoma epicurean is breaking the mold in cheese education   …,0.9681587425705772,
residentes del condado de sonoma viviendo en zonas 1 a las 10 deben evacuar ahora vea este mapa para información sobre las zonas:   … evacua ahora si vive en estas zonas,0.9935060857238376,
thanks to our electrical crew for getting highway 50 traffic cameras back online in placerville at spring street and @cityofslt at the y intersection! check out all caltrans cameras statewide here:   ,0.9914782527032192,"['38.7301905,-120.7982803']"
evac centers: sonoma county fairgrounds will open at 8:00am healdsburg community center remains open windsor hs is closed la feria del condado de sonoma abrirá a las 8:00am el centro comunitario de healdsburg permanece abierto la preparatoria de windsor está cerrado,0.9519837128716698,
@sonomasheriff helped @kentphotos out the other night might give them a shout,0.9753478816184924,
new incident: #nelsonfire between durham and richvale in butte county is 75 acres,0.987012385670102,
thank you everyone for 2000 followers!!!! thanks for the words of support!!!!,0.9793408613199748,
#trafficalert major traffic backup on sr 65 in yuba county as north- and southbound lanes are closed due to a vehicle collision motorists are being rerouted at oakley lane no eto,0.9066729464707208,
update 53 11:02 am #kincadefire please view updated evacuation map if you feel unsafe evacuate   …,0.9916347294074684,
high wind advisory for sacyolo counties in affect for i-5 & i-80 yolo bypass and causeway areas @caltranshq @caltransd4 @chp_valley,0.9608558393551008,"['40.7849921,-122.3083332']"
@pge4me controls the outages we’re trying to help share info with our community,0.9885869941283328,
update 111 11:35 pm #kincadefire ic requesting 1 additional immediate need strike team to shilo fire will impact lockwood dr shortly if you have not evacuated do so now,0.995859108155408,
 ,0.9809440026741888,
@airbnb ofrece alojamiento temporal para los evacuados de #kincadefire,0.9937432569433629,
residents with private wells water pumps and sewer grinderbooster pumps need to be prepared in the event of a power outage know how your water and sewer system operates and have a back-up plan during an outage,0.9902922731695384,
update 10 11:47 pm #kincadefire ic reports that control will not be effective until the fire hits the vineyards or the winds die down possibly expanded evac advisories,0.9893363168380048,
approx 180000 people under evacuation order due to #kincadefire this is the largest evacuation that any of us at the sheriff’s office can remember take care of each other,0.9723446932985016,
tree work on highway 20 in downtown colusa has been completed  …,0.9766713398273276,"['39.21430549999999,-122.00941']"
heads up for california-bound i-80 wb travelers follow @nhpnortherncomm for updates to this incident  …,0.9799980469887036,"['39.9580935,-118.7087118']"
pg&e shut down gas to about 23000 customers to protect homes from fire this includes cloverdale to fulton and town of forestville they will shut off other connections as needed cloverdale was included because lines servicing the city pass through the burn area  …,0.9881341288960857,"['39.053344,-77.12182']"
