Tweet,User,User_ID,Geo,HashTag,Date
We agree!,SonomaScanner,953586074751713280,,,Fri Nov 01 23:14:16 +0000 2019
"(Update 1, 4:13 pm) IC continuing 1 eninge and a water tender, canceling the balance.",SonomaScanner,953586074751713280,,,Fri Nov 01 23:12:26 +0000 2019
"NEW INCIDENT 4:06 pm Occidental Rd at Frati Ln, Occidental Structure fire with CAL FIRE on order.pic.twitter.com/HabLuTzCr8",SonomaScanner,953586074751713280,,,Fri Nov 01 23:10:43 +0000 2019
"1) 3:50pm Coroner en route, deceased was a civilian not Cal Fire employeepic.twitter.com/dR0oyoXxZJ",SonomaScanner,953586074751713280,,,Fri Nov 01 22:52:52 +0000 2019
"11/1/19 3:11PM Lakeville Hwy / Twin House Ranch R 2 VEHICLE TRAFFIC COLLISON Tan Nissan Altima vs Grey SUV Both with major damage 3:34PM, Tow trucks en routepic.twitter.com/g0GNV8OYLL",SonomaScanner,953586074751713280,,,Fri Nov 01 22:43:06 +0000 2019
"11/1/2019 3:19PM LAKEVILLE HIGHWAY IS CLOSED BETWEEN SR37 AND SR 116 FOR *FATAL* COLLISION Old Lakeville Road NO 1 / Lakeville Hwy 2:30pm Head on traffic collison involving Cal Fire, Jeep on its side 2:51pm Fire Chief on radio confirming decedentpic.twitter.com/CiB1B8bJCx",SonomaScanner,953586074751713280,,,Fri Nov 01 22:42:51 +0000 2019
"Over the last week we've gained over 5,000 followers and we just wanted to say welcome! We were established on 11/28/2016. Our 3 admins are all volunteers with experience in public safety. Read our Mission Statement and Projects here:https://www.patreon.com/SonomaScanner",SonomaScanner,953586074751713280,,,Fri Nov 01 21:26:26 +0000 2019
"The Sonoma County Sheriff’s Office is lifting the following areas. Zone 1A (Geyserville south) Zone 3A (Healdsburg and Fitch Mountain) Zone 3B (Windsor) Zone 5A (Larkfield, including Sutter Hospital) Zone 6 (north of Santa Rosa, including Calistoga Road and the Los Alamos area)pic.twitter.com/6Gz6nk1ROl",SonomaScanner,953586074751713280,,,Fri Nov 01 21:13:44 +0000 2019
Your welcome!,SonomaScanner,953586074751713280,,,Fri Nov 01 20:16:18 +0000 2019
Your welcome!,SonomaScanner,953586074751713280,,,Fri Nov 01 20:15:50 +0000 2019
send us a message and we'll get back to you as soon as we can! Welcome to Sonoma County Scanner Updates! (4/4),SonomaScanner,953586074751713280,,,Fri Nov 01 20:02:55 +0000 2019
"dispatching, EMS, military, or other scanner, or public safety related things. We post all our updates here but also to Facebook (@SCScanner) and Instagram (@SonomaScanner) If you have any tips or suggestions, (3/4)",SonomaScanner,953586074751713280,,,Fri Nov 01 20:02:54 +0000 2019
"We occasionally delay posts for officer safety but do our best to get information out to the community in real time. We are 100% donation run and appreciate so so much all the support we get from the community! All three of our admins have experience in law, (2/4)",SonomaScanner,953586074751713280,,,Fri Nov 01 20:02:54 +0000 2019
"Hello! Over the last week we've gained over 5,000 followers and we just wanted to say welcome! For those who don't know, we're a group of volunteers who post public safety related incidents we hear on scanners. (1/4)",SonomaScanner,953586074751713280,,,Fri Nov 01 20:02:53 +0000 2019
Intoxicated Male Assaults Santa Rosa Police Officers.https://www.patreon.com/posts/intoxicated-male-31233085?utm_medium=social&utm_source=twitter&utm_campaign=postshare …,SonomaScanner,953586074751713280,,,Fri Nov 01 19:20:44 +0000 2019
https://docs.google.com/presentation/d/1FGKYrV-5Q7QgqwC30qITkq2U9Zg5hT_1KKXWesBwu7E/edit?usp=sharing …,SonomaScanner,953586074751713280,,,Fri Nov 01 16:55:37 +0000 2019
Thank you @rakansenn for overhauling our page with new graphics and streamlining our format to look more professional !!,SonomaScanner,953586074751713280,,,Fri Nov 01 08:39:25 +0000 2019
"(Update 7, 1:07 am) #StoryFire Canceling all type 1 and 3 engines, battalions at their discretion, keeping all the water tenders.",SonomaScanner,953586074751713280,,#StoryFire,Fri Nov 01 08:09:12 +0000 2019
"(Update 6, 1:00 am) #StoryFire IC requesting 1 additional water tender.",SonomaScanner,953586074751713280,,#StoryFire,Fri Nov 01 08:01:16 +0000 2019
"(Update 5, 12:48 am) #StoryFire IC now canceling the dozers, staging all incoming Traverso Rd at Highway 128.",SonomaScanner,953586074751713280,,#StoryFire,Fri Nov 01 07:49:08 +0000 2019
"(Update 4, 12:45 am) #StoryFire REDCOM now sending a full wildland dispatch, they report the fire has a moderate ROS, not slow ROS as previously reported.",SonomaScanner,953586074751713280,,#StoryFire,Fri Nov 01 07:46:39 +0000 2019
"(Update 3, 12:42 am) #StoryFire Structure threat has been mitigated, no word on containment as of yet. Winds look to be calm in the area.",SonomaScanner,953586074751713280,,#StoryFire,Fri Nov 01 07:43:08 +0000 2019
"(Update 2, 12:39 am) #StoryFire Battalion on scene reports 1 acre with a slow rate of spread, heavy mop up required.",SonomaScanner,953586074751713280,,#StoryFire,Fri Nov 01 07:40:32 +0000 2019
"Power surge in Santa Rosa, you can hear a fire alarm trigger by this in the background of dispatch.pic.twitter.com/eXgpemXb4X",SonomaScanner,953586074751713280,,,Fri Nov 01 07:38:58 +0000 2019
"(Update 1, 12:32 am) #StoryFire Confirmed power lines down, unclear if there are any units on scene yet.pic.twitter.com/N879wkojaj",SonomaScanner,953586074751713280,,#StoryFire,Fri Nov 01 07:33:32 +0000 2019
"NEW INCIDENT 12:25 am Story Brook Vineyards, Calistoga Vegetation fire, units en route report a glow to the west, possibly interior burning on the Kincade Fire. #StoryFire #KincadeFire. The glow is clearly visible on the @AlertWildfire Pepperwood East camera.pic.twitter.com/6QvL5SzjKM",SonomaScanner,953586074751713280,,#StoryFire #KincadeFire,Fri Nov 01 07:28:24 +0000 2019
"(Final update, 11:33 pm) 2 engines to handle a small deck fire.",SonomaScanner,953586074751713280,,,Fri Nov 01 06:34:01 +0000 2019
"NEW INCIDENT 11:27 pm Olive Ave at Verano Ave, El Verano Deck on fire.pic.twitter.com/nEeAmKdI8Q",SonomaScanner,953586074751713280,,,Fri Nov 01 06:28:21 +0000 2019
Strike team 9141C dispatched to from up in Flag City at midnight to go to South Ops likely for the #MariaFire,SonomaScanner,953586074751713280,,#MariaFire,Fri Nov 01 05:30:50 +0000 2019
Thank you so so much! We really appreciate the support!,SonomaScanner,953586074751713280,,,Fri Nov 01 04:41:55 +0000 2019
Thanks!,SonomaScanner,953586074751713280,,,Fri Nov 01 03:22:20 +0000 2019
#NewProfilePicpic.twitter.com/jabzthOI4r,SonomaScanner,953586074751713280,,#NewProfilePicpic,Fri Nov 01 01:35:06 +0000 2019
Thanks! We understand.,SonomaScanner,953586074751713280,,,Thu Oct 31 21:50:14 +0000 2019
"Sorry, we normally add them. Frogot it this time.",SonomaScanner,953586074751713280,,,Thu Oct 31 21:30:48 +0000 2019
"1344pm FINLEY AV, ASSAULT W/DEADLY WEAPON JUST OCCURRED",SonomaScanner,953586074751713280,,,Thu Oct 31 21:19:48 +0000 2019
Yep,SonomaScanner,953586074751713280,,,Thu Oct 31 21:02:22 +0000 2019
Yes,SonomaScanner,953586074751713280,,,Thu Oct 31 21:02:06 +0000 2019
"(Final update, 1:59 pm) Engine 2 to handle, fire under control.",SonomaScanner,953586074751713280,,,Thu Oct 31 20:58:26 +0000 2019
"NEW INCIDENT 1:58 pm North bound 101 at Golf Coure 3 to 4 vehicle accident, some patients still in the vehicles.",SonomaScanner,953586074751713280,,,Thu Oct 31 20:56:48 +0000 2019
