Tweet,User,User_ID,Geo,HashTag,Date
Lakeville Hwy remains closed during investigation of a fatal crash. Please use alternate routes.pic.twitter.com/tDhdF6gWes,CHPSantaRosa,1902334747,,,Fri Nov 01 23:10:10 +0000 2019
Lakeville Hwy is closed between SR37 and SR116. Unknown estimated time of opening. Use alternate routes.,CHPSantaRosa,1902334747,,,Fri Nov 01 22:21:02 +0000 2019
We’re on scene of a fatal traffic collision on Lakeville Hwy near Cannon Ln. Expect heavy delays. Please avoid the area.pic.twitter.com/exveKftq3w,CHPSantaRosa,1902334747,,,Fri Nov 01 22:01:41 +0000 2019
"Halloween definitely has a different feel around here after the last week, but let’s make sure we make it extra safe. The post is lengthy, so please follow the Facebook link. https://www.facebook.com/393701014092479/posts/2359379764191251?sfns=mo …",CHPSantaRosa,1902334747,,,Thu Oct 31 23:47:18 +0000 2019
More progress! #kincadefirehttps://twitter.com/CALFIRELNU/status/1190010040549138432 …,CHPSantaRosa,1902334747,,#kincadefirehttps,Thu Oct 31 21:00:33 +0000 2019
"Mark West Springs Rd at Cross Creek is closed. There has been some confusion because Mark West at Old Red Hwy is a warning zone, but a mandatory evacuation is in place north of that location. Therefore CHP is controlling that location in the interest of safety and security.pic.twitter.com/GI0bufOQ98",CHPSantaRosa,1902334747,,,Thu Oct 31 17:57:07 +0000 2019
Major Progress Today! #kincadefireshttps://twitter.com/calfirelnu/status/1189722948279492609 …,CHPSantaRosa,1902334747,,#kincadefireshttps,Thu Oct 31 01:59:52 +0000 2019
CHP Officers remain on post for the following roadway closures: https://www.facebook.com/393701014092479/posts/2357333937729167?sfns=mo …,CHPSantaRosa,1902334747,,,Wed Oct 30 22:46:58 +0000 2019
"Refer to Cal Fire press release if your evacuation zone has been updated. Please drive safely, be patient, and remember many street lights will still be without power. Treat as a 4-way stop!https://twitter.com/CALFIRELNU/status/1189649901056970752 …",CHPSantaRosa,1902334747,,,Wed Oct 30 21:14:00 +0000 2019
Photo from yesterday afternoon on US-101 at Independence Ln. #fire #smokey #geyserville #chp #sonomacounty #kincadefirepic.twitter.com/vOXAWLJf41,CHPSantaRosa,1902334747,,#fire #smokey #geyserville #chp #sonomacounty #kincadefirepic,Wed Oct 30 18:52:59 +0000 2019
"If you’re able to return home, remember the air quality is still poor. Wear a mask and avoid outside activities. #kincadefireshttps://twitter.com/CALFIRELNU/status/1189288738687541249 …",CHPSantaRosa,1902334747,,#kincadefireshttps,Tue Oct 29 21:32:22 +0000 2019
US-101 on/off ramps at Dry Creek Rd are now open.https://twitter.com/sonomasheriff/status/1189289116254515200 …,CHPSantaRosa,1902334747,,,Tue Oct 29 21:20:08 +0000 2019
@RepThompson and @JimWoodAD2 with boots on the ground today to see the destruction of #KincadeFire. Amazing job by @CALFIRELNU and all personnel who have saved so many homes! #sonomastrong #sonomacounty #chp #firepic.twitter.com/71wIch2MUu,CHPSantaRosa,1902334747,,#KincadeFire #sonomastrong #sonomacounty #chp #firepic,Tue Oct 29 07:08:45 +0000 2019
