Tweet,User,User_ID,Geo,HashTag,Date
"#SobranteFire off of La Sierra Ave and Tin Mine Road, East of Corona in Riverside County is 35 acres.pic.twitter.com/UA1h8RqUFa",CAL_FIRE,21249970,,#SobranteFire,Fri Nov 01 20:22:43 +0000 2019
"New incident: #SobranteFire off of La Sierra Ave and Tin Mine Road, East of Corona in Riverside County is 25 acres.pic.twitter.com/FZH0ZcBboo",CAL_FIRE,21249970,,#SobranteFire,Fri Nov 01 20:08:49 +0000 2019
"#KincadeFire off John Kincade Road and Burned Mountain Road, northeast of Geyserville in Sonoma County is 77,758 acres and 68% contained. https://fire.ca.gov/incidents/2019/10/23/kincade-fire/ … @CALFIRELNUpic.twitter.com/SydZ3QMs8J",CAL_FIRE,21249970,,#KincadeFire,Fri Nov 01 14:49:12 +0000 2019
"#HillFire off of Granite Valley and Pyrite Street, in Jurupa Valley in Riverside County is 628 acres and 80% contained. Containment has changed due to the fact crews continue to improve containment lines. http://rvcfire.org/_Layouts/Incident%20Information/IncidentInfoDetail.aspx?4523 …pic.twitter.com/fgQnuqsQtP",CAL_FIRE,21249970,,#HillFire,Fri Nov 01 14:42:55 +0000 2019
"#EasyFire off West Easy Street and West Los Angeles Avenue, Simi Valley in Ventura County is 1,860 acres and 80% contained. Lead Agency: Ventura County Fire Department https://fire.ca.gov/incidents/",CAL_FIRE,21249970,,#EasyFire,Fri Nov 01 14:37:41 +0000 2019
"#46Fire off of 5300 block of 46th Street, East of Jurupa Valley in Riverside County is 300 acres and 70% contained. http://rvcfire.org/_Layouts/Incident%20Information/IncidentInfoDetail.aspx?4524 …pic.twitter.com/EQ4L29xsO4",CAL_FIRE,21249970,,#46Fire,Fri Nov 01 14:36:57 +0000 2019
"#MariaFire off of Bradley Road and Solano Verde Dr, Top of South Mt, Santa Paula in Ventura County is 8730 acres. Lead Agency: Ventura County Fire Department https://fire.ca.gov/incidents/ pic.twitter.com/T5EAzncEPG",CAL_FIRE,21249970,,#MariaFire,Fri Nov 01 14:30:42 +0000 2019
"#CopperFire off of Border road and Canyon Road, Southeast of Chula Vista in San Diego County is 50 acres and 100 % contained.pic.twitter.com/GftDKR6S38",CAL_FIRE,21249970,,#CopperFire,Fri Nov 01 14:26:50 +0000 2019
"#BurrisFire off Potter Valley Rd and Hwy 20, east of Calpella in Mendocino County is 703 acres and 94% contained. @CALFIRE_MEUpic.twitter.com/HYMK0gxDcQ",CAL_FIRE,21249970,,#BurrisFire,Fri Nov 01 14:21:32 +0000 2019
"#MariaFire off of Bradley Road and Solano Verde Dr, Top of South Mt, Santa Paula in Ventura County is 8060 acres. Lead Agency: Ventura County Fire Department https://fire.ca.gov/incidents/ pic.twitter.com/WPAIrxFiBs",CAL_FIRE,21249970,,#MariaFire,Fri Nov 01 12:24:04 +0000 2019
"Correction: #MariaFire off of Bradley Road and Solano Verde Dr, Top of South Mt, Santa Paula in Ventura County is 4000 acres. Lead Agency: Ventura County Fire Department https://fire.ca.gov/incidents/ pic.twitter.com/A8PuOSkhHd",CAL_FIRE,21249970,,#MariaFire,Fri Nov 01 04:56:07 +0000 2019
"#MariaFire off West Easy Street and West Los Angeles Avenue, Simi Valley in Ventura County remains 750 acres. Lead Agency: Ventura County Fire Department https://fire.ca.gov/incidents/ pic.twitter.com/Xo0Y0PqqL3",CAL_FIRE,21249970,,#MariaFire,Fri Nov 01 03:58:54 +0000 2019
"#BurrisFire off Potter Valley Rd and Hwy 20, east of Calpella in Mendocino County is 703 acres and 93% contained. @CALFIRE_MEUpic.twitter.com/p1qbBCE6f0",CAL_FIRE,21249970,,#BurrisFire,Fri Nov 01 02:30:45 +0000 2019
