Tweet,User,User_ID,Geo,HashTag,Date
Regional Parks Updates // Actualizaciones de Parques Regionales @SonomaParks #kincadefire #sonomacountypic.twitter.com/VEfnl2tAFL,CountyofSonoma,54319670,,#kincadefire #sonomacountypic,Fri Nov 01 23:10:23 +0000 2019
"Atención: Residentes viviendo al norte de Pine Flat Road. Vigente inmediata, estos residentes tienen acceso temporal a sus propiedades. Residentes de esta área pueden ir a Geyserville Park & Ride donde oficiales le darán detalles de reingreso e importante información de seguridadhttps://twitter.com/sonomasheriff/status/1190393085009760258 …",CountyofSonoma,54319670,,,Fri Nov 01 22:36:06 +0000 2019
"Attn residents living north of Pine Flat Road! Effective immediately, these residents have temporary access to their properties. Residents of these areas can go to the Geyserville Park & Ride where officials will have details on re-entry and important safety info. #kincadefirehttps://twitter.com/sonomasheriff/status/1190393085009760258 …",CountyofSonoma,54319670,,#kincadefirehttps,Fri Nov 01 22:25:07 +0000 2019
Comestibles y productos gratuitos para los residentes de Windsor que lo necesitan. Windsor Service Alliance proporcionará alimentos y productos para la comunidad de Windsor a las 2:00 pm a 5:00 pm hoy en 8987 Windsor Road. No se requiere membresía. #kincadefire #sonomacounty,CountyofSonoma,54319670,,#kincadefire #sonomacounty,Fri Nov 01 21:30:02 +0000 2019
Free groceries and produce for Windsor residents in need. The Windsor Service Alliance will be providing groceries and produce for the Windsor community at 2:00 pm to 5:00 pm today at 8987 Windsor Road. No membership required. #kincadefire #sonomacounty,CountyofSonoma,54319670,,#kincadefire #sonomacounty,Fri Nov 01 21:29:44 +0000 2019
"Preguntas tocante pérdida de trabajo, permisos, seguro y de más? Marque el 211 (o mande un texto al 898211) para recibir recursos, e información tocante Los Centros de Asistencia. Residentes del Condado de Sonoma pueden accesar servicios independientemente de su estado migratorio",CountyofSonoma,54319670,,,Fri Nov 01 20:48:00 +0000 2019
"Questions about missed work, permitting, insurance and more? Dial 2-1-1 (or text 898211) for helpful resources, and info about the Local Assistance Center in Healdsburg. Sonoma County residents can access services regardless of immigration status. #kincadefire #sonomacounty",CountyofSonoma,54319670,,#kincadefire #sonomacounty,Fri Nov 01 20:47:16 +0000 2019
"Denos nuestro apoyo a los dedicados trabajadores de @PGE4Me que están al frente haciendo su labor, amenazas y violencia son inaceptables. Estas personas son nuestros vecinos, y están haciendo todo lo posible para restaurar la electricidad en nuestras comunidades.",CountyofSonoma,54319670,,,Fri Nov 01 20:39:22 +0000 2019
"The hard working people on the front lines for @pge4me deserve our support - threats and violence are unacceptable. These people are our neighbors, and are doing everything they can to restore electricity to our communities.",CountyofSonoma,54319670,,,Fri Nov 01 20:39:02 +0000 2019
"SMART continua proveyendo servicios gratuitos hasta el dia miercoles, 6 de noviembre. Los trenes están operando el itinerario regular, sirviendo todas las estaciones. Para mas detalles, visite: http://SonomaMarinTrain.org/node/337 .https://twitter.com/smarttrain/status/1190293697507799041 …",CountyofSonoma,54319670,,,Fri Nov 01 20:24:41 +0000 2019
Considere los siguientes puntos en este corto video al regresar a sus hogares. Ya que residentes están regresando y la energía está siendo restaurada. https://www.youtube.com/watch?v=r0s6Uz1akfU … #KincadeFirepic.twitter.com/4sh5sVRieb,CountyofSonoma,54319670,,#KincadeFirepic,Fri Nov 01 20:17:28 +0000 2019
"As residents are returning home and the power is being turned back on, here’s a short video with some things to consider as you return: https://www.youtube.com/watch?v=X53pYKJK2vo … #KincadeFirepic.twitter.com/Fmbu3m2G82",CountyofSonoma,54319670,,#KincadeFirepic,Fri Nov 01 19:42:55 +0000 2019
"Tuvo pérdida de alimentos durante el corte de energía o de evacuaciones? Si usted fue impactado y tiene dificultades reemplazando su almacén de comida, @REFB puede ayudarle! Visite la siguiente página, para mas informacion:https://refb.org/current-emergency-food-distribution-information-kincade-fire/ …",CountyofSonoma,54319670,,,Fri Nov 01 19:26:55 +0000 2019
"Did you lose food in the power shutoff or evacuation? If you were impacted and are struggling to replace your food stores, @REFB can help! More from Redwood Empire Food Bank about their Emergency Food Distribution here: https://refb.org/current-emergency-food-distribution-information-kincade-fire/ …",CountyofSonoma,54319670,,,Fri Nov 01 19:26:20 +0000 2019
Actualizar: el aeropuerto ya está abierto!,CountyofSonoma,54319670,,,Fri Nov 01 19:06:17 +0000 2019
Correction: The Sonoma County Airport is now open!,CountyofSonoma,54319670,,,Fri Nov 01 19:05:27 +0000 2019
"Gracias, Alguaciles del Condado de Sonoma y a todos nuestros compañeros, oficiales de la ley por su labor tan necesitada y por su apoyo durante este evento #KincadeFire @sonomasheriff ¡Nos haces #SonomaStrong!pic.twitter.com/IhZS24bH4i",CountyofSonoma,54319670,,#KincadeFire #SonomaStrong,Fri Nov 01 18:22:40 +0000 2019
Thank you to Sonoma County Sheriff and our local law enforcement partners for your much needed support during the #KincadeFire. You make us #SonomaStrong! @sonomasheriffpic.twitter.com/Axl5L2EEFe,CountyofSonoma,54319670,,#KincadeFire #SonomaStrong,Fri Nov 01 18:21:05 +0000 2019
