Tweet,User,User_ID,Geo,HashTag,Date
Dragons volleyball taken to the brink https://www.sonomanews.com/sports/10249254-181/dragon-volleyball-taken-to-the?utm_campaign=trueAnthem%3A+Trending+Content&utm_content=5dbcadce4c15b8000149622b&utm_medium=trueAnthem&utm_source=twitter …pic.twitter.com/E5iD6gQTaS,sonomanews,18057936,,,Fri Nov 01 22:12:33 +0000 2019
PHOTOS: Halloween trick-or-treating on Sonoma Plaza https://www.sonomanews.com/gallery/10249684-181/photos-halloween-trick-or-treating-on-sonoma?utm_campaign=trueAnthem%3A+Trending+Content&utm_content=5dbc9fca8021ed000132ead8&utm_medium=trueAnthem&utm_source=twitter …pic.twitter.com/QmhZgLJSX1,sonomanews,18057936,,,Fri Nov 01 21:12:47 +0000 2019
'Really draining day today': Some who lost homes allowed to survey damage for 1st time https://www.sonomanews.com/news/10249235-181/kincade-fire-containment-grows-to?utm_campaign=trueAnthem%3A+Trending+Content&utm_content=5dbc91b04c15b800014960a6&utm_medium=trueAnthem&utm_source=twitter …pic.twitter.com/Zm97ycIwj1,sonomanews,18057936,,,Fri Nov 01 20:12:36 +0000 2019
2 Sonoma Valley girls injured in hit-and-run crash Halloween night https://www.sonomanews.com/news/10249231-181/chp-sonoma-valley-girls-hit?utm_campaign=trueAnthem%3A+Trending+Content&utm_content=5dbc83ab8021ed000132e96a&utm_medium=trueAnthem&utm_source=twitter …pic.twitter.com/CDZsNd3x77,sonomanews,18057936,,,Fri Nov 01 19:12:47 +0000 2019
Smoky air from Kincade fire blankets Sonoma County https://www.sonomanews.com/news/10236053-181/smoke-from-kincade-fire-fouls?utm_campaign=trueAnthem%3A+Trending+Content&utm_content=5dbc75924c15b80001495f2e&utm_medium=trueAnthem&utm_source=twitter …pic.twitter.com/gpVTBwlRqe,sonomanews,18057936,,,Fri Nov 01 18:12:45 +0000 2019
Mike Benziger to speak to Sonoma Home Winemakers https://www.sonomanews.com/lifestyle/10211806-181/mike-benziger-to-speak-to?utm_campaign=trueAnthem%3A+Trending+Content&utm_content=5dbc677b4c15b80001495e67&utm_medium=trueAnthem&utm_source=twitter …pic.twitter.com/2MOTerfy7D,sonomanews,18057936,,,Fri Nov 01 17:12:37 +0000 2019
Class of ’19 Sonoma Valley High grad checks in from Northeastern University https://www.sonomanews.com/news/education/10192268-181/class-of-19-sonoma-valley?utm_campaign=trueAnthem%3A+Trending+Content&utm_content=5dbc59734c15b80001495dad&utm_medium=trueAnthem&utm_source=twitter …pic.twitter.com/340Qr3ZCK7,sonomanews,18057936,,,Fri Nov 01 16:12:39 +0000 2019
Sonoma Dish: Old Wives’ Tales from the kitchen https://www.sonomanews.com/lifestyle/10241206-181/sonoma-dish-old-wives-tales?utm_campaign=trueAnthem%3A+Trending+Content&utm_content=5dbc4b5a4c15b80001495ceb&utm_medium=trueAnthem&utm_source=twitter …pic.twitter.com/shRNMQFLha,sonomanews,18057936,,,Fri Nov 01 15:12:38 +0000 2019
Food: ‘Greasy spoon’ breakfasts at Reel & Brand https://www.sonomanews.com/lifestyle/10241907-181/food-greasy-spoon-breakfasts-at?utm_campaign=trueAnthem%3A+Trending+Content&utm_content=5dbc3d554c15b80001495c1b&utm_medium=trueAnthem&utm_source=twitter …pic.twitter.com/JzddeVCejr,sonomanews,18057936,,,Fri Nov 01 14:12:40 +0000 2019
New coworking spot opens in Sonoma https://www.sonomanews.com/business/10245472-181/new-coworking-spot-opens-in?utm_campaign=trueAnthem%3A+Trending+Content&utm_content=5dbc2f3d8021ed000132e4f4&utm_medium=trueAnthem&utm_source=twitter …pic.twitter.com/7uY8XCZSD2,sonomanews,18057936,,,Fri Nov 01 13:12:36 +0000 2019
Sonoma sophomore heads to Rwanda https://www.sonomanews.com/news/education/10220557-181/sonoma-sophomore-heads-to-rwanda?utm_campaign=trueAnthem%3A+Trending+Content&utm_content=5dbc131c8021ed000132e34a&utm_medium=trueAnthem&utm_source=twitter …pic.twitter.com/4rXWDyyoKt,sonomanews,18057936,,,Fri Nov 01 11:12:35 +0000 2019
Warning issued for sneaker waves along Sonoma Coast https://www.sonomanews.com/news/10235941-181/warning-issued-for-sneaker-waves?utm_campaign=trueAnthem%3A+Trending+Content&utm_content=5dbc05168021ed000132e26d&utm_medium=trueAnthem&utm_source=twitter …pic.twitter.com/LuyAqDMq0D,sonomanews,18057936,,,Fri Nov 01 10:12:43 +0000 2019
Sonoma Valley ballerina enrolls at San Francisco Ballet School https://www.sonomanews.com/news/education/10212104-181/sonoma-valley-ballerina-enrolls-at?utm_campaign=trueAnthem%3A+Trending+Content&utm_content=5dbbf6fe4c15b800014957e1&utm_medium=trueAnthem&utm_source=twitter …pic.twitter.com/xBrPYymURC,sonomanews,18057936,,,Fri Nov 01 09:12:34 +0000 2019
2 Alexander Valley wineries damaged by Kincade fire https://www.sonomanews.com/business/10229446-181/two-sonoma-county-wineries-damaged?utm_campaign=trueAnthem%3A+Trending+Content&utm_content=5dbbe8f88021ed000132e0b6&utm_medium=trueAnthem&utm_source=twitter …pic.twitter.com/a9x2vabMrK,sonomanews,18057936,,,Fri Nov 01 08:12:45 +0000 2019
