Tweet,closed_probs,closed_open,location
Evacuation Orders - https://socoemergency.org/fire-info/ pic.twitter.com/Dk0ejAeOeb,0.6653531491702194,1,
"#KincadeFire off John Kincade Road and Burned Mountain Road, northeast of Geyserville in Sonoma County is 76,825 acres and 30% contained. https://fire.ca.gov/incidents/2019/10/23/kincade-fire/ … @CALFIRELNUpic.twitter.com/XYRH4Vbuus",0.9971022169040491,1,
"NEW INCIDENT 4:06 pm Occidental Rd at Frati Ln, Occidental Structure fire with CAL FIRE on order.pic.twitter.com/HabLuTzCr8",0.9984651317868924,1,
"(Update 50, 10:21 pm) #KincadeFire Air attack over the fire reports tankers cannot work the fire on the Cobb side due to visibility. Requesting 3 VLATs and Tanker 134, checking the availability of scooper aircraft. Aircraft will be working the Bravo side of the fire.",0.9936569623064246,1,
Thanks to our electrical crew for getting Highway 50 traffic cameras back online in Placerville at Spring Street and @cityofslt at the Y intersection! Check out all Caltrans cameras statewide here: http://bit.ly/35WM6WC pic.twitter.com/oJ0MFs0drS,0.9321097704236644,1,"['38.7301905,-120.7982803']"
"#BurrisFire off Potter Valley Rd and Hwy 20, east of Calpella in Mendocino County is 703 acres and 94% contained. @CALFIRE_MEUpic.twitter.com/HYMK0gxDcQ",0.9411149096388608,1,
"A #RedFlagWarning has been issued for most of Northern CA & portions of Southern CA from today until late Thursday evening & even into Friday for some areas, due to strong winds & low humidity. This is #CriticalFireWeather exercise caution when outdoors. https://www.fire.ca.gov/programs/communications/red-flag-warnings-fire-weather-watches/?fbclid=IwAR2wkDhKK5EMwAJzMoCTss43GSwMvdmk2E8Cp5zR54_gd42SKWD4sAcrpdM …pic.twitter.com/1niJbP4P6s",0.9986502967837256,1,
"New Incident: #HillFire off of Granite Valley and Pyrite Street, in Jurupa Valley in Riverside County is 50 acres. Mandatory Evacuations and road closures are in place. http://www.rvcfire.org/_Layouts/Incident%20Information/IncidentInfoDetail.aspx?4523 …pic.twitter.com/wwJilFL6hM",0.999319907795568,1,
"(Update 127, 11:50pm 10/30/19) CalOSHA investigating a firefighter injury: A FF was injured when they were using a chainsaw to conduct firefighting operations, fuel cap came off, splashed their pants with fuel, which set on fire and resulted in 2nd & 3rd degree burns.",0.5885206307036726,1,
"(Update 8, 11:02 pm) #KincadeFire fire has crossed Healdsburg Geysers Rd and will soon hits fire sacrs from 2017. Some units reporting the fire looks like the ""gates of hell"" others report it looks good. Cover assignments being dispatched.",0.9854676743008888,1,
