Tweet,closed_probs,closed_open
caltrans is hosting a public open house at our district office 703 b street in marysville wednesday from 5:30-7 pm to discuss the latest plans and environmental documents for a safety project on highway 70 north of marysville,0.9996034597181502,0
amazon delivers more than bargained for in glen ellen   …,0.9798300453883391,0
historic photos show what sonoma county looked like in 1919   ,0.9808656940169018,0
sonoma valley water users can get smart about water use   ,0.9926118483928089,0
sonoma cops: parallel worlds in police work   ,0.9901665765861224,0
#pilotfire [update] off pilot ridge rd & usfs route 1 southwest of willow creek humboldt county is now 30 acres & 60% contained,0.771665292203126,1
wayward duck gets sucked down lake berryessa glory hole  ,0.9954306896355716,0
hundley harvey and agrimonti come out on top in sonoma city council race   ,0.9954744104401325,0
city eyes $15 minimum wage   ,0.9843809020727168,0
anything that is tossed on the street after crews have swept an area between march 25 – 29 and thereafter will be considered illegal dumping and violators will be prosecuted according to the sonoma county penal code 22,0.9202364295988534,0
local businesses struggling to find workers amid low unemployment   …,0.9391836277570741,0
2:34 pm scso code 3 for a fight on windsor river rd,0.9861898685591097,0
new incident: #wolffire off of lamb canyon road and california avenue southeast of beaumont in riverside county is 30 acres photo credit: @564firephoto,0.9780259892711458,1
1501  becker bl  search and rescue,0.9845331091371399,0
for current road conditions subscribe to:    transportation dept doing great job of updating,0.9302531242160743,0
new incident: #lopezfire off upper lopez canyon rd & wittenberg creek rd southeast of san luis obispo in san luis obispo county is 50 acres,0.9959753476091154,1
human trafficking street outreach  …,0.9513164862943201,0
hazardous conditions power lines down 11871 bodega hwy,0.9331767649177425,0
reminder that @soco_tpw crews recently removed #sonomacountys summer crossings including bridges at vacation beach rd washington school rd asti and odd fellows park rd pictured which are now closed for the season stay updated w news & info:   ,0.5846752603265837,0
if you look closely at the bottom of the computer screen you can see the sensors measuring the speed and length of vehicles driving on hwy 99 this tells the dynamic boards which messages to display when traffic is slowed,0.6863826303733964,1
#taboosefire - as of 8 am this morning this fire is no longer in unified command visit the @inyo_nf or @inciweb for future updates on this incident,0.8554922041903976,0
oakmont residents intend to buy golf club   …,0.9956067205483242,0
glass emptyglass full   …,0.9869497460273211,0
chains required on highway 89 along the tahoe westshore between ebrights and dl bliss state park check out   for the late road conditions,0.7084208491085315,0
editorial cartoon: the king and his court   …,0.9956855895740474,0
traffic advisory: intermittent late night closures at i-5 & hwy 99 connector on wed 65 thur 66 & fri 67 expect delays and use the next exit as detour crews are finishing up work on the elkhorn auxiliary lane @sacintlairport @thecityofsac @natomasbuzz,0.9657629101256203,1
how a sonoma county grandma solved a murder mystery from the early 1980s   …,0.9796525714528751,0
#morganfire [update] off morgan territory rd & storybook ln east of san ramon contra costa county is now 20 acres & 25% contained forward spread stopped,0.9931731514640285,1
county fair attendance drops to lowest level in modern history   …,0.9376518852130328,0
sac northbound i-5 connector ramp to wb us hwy 50 closed due to traffic collision repairs needed no eto,0.997198551443643,1
#creekfire east of woodlake in tulare county is 756 acres and 100% contained   ,0.9049039255404461,1
restaurateurs to ask sonoma city council for more time on minimum wage increase   …,0.9979030262126695,0
chicken sandwich lovers go clucking mad   …,0.9787395640088874,0
multiple ‘weaknesses and deficiencies’ in city of sonoma bookkeeping   …,0.9963708706420191,0
robberytheft university square southwest blvd rp details pending subject left in black truck nb on snyder conflicting information cotati dispatch says robbery rp dispatch says theft actively monitoring,0.9964794489273815,0
report: gunman in yountville vets home killings previously threatened his victims   ,0.9795300303036789,0
