Tweet,User,User_ID,Geo,HashTag,Date
There’s some gusty winds on Mt. St. Helena. One reason @PGE4Me has shut off power to some in #NapaCounty. Be #patient and safe tonight. @CHP_GoldenGate @KPIXtv @NapaRegister @KTVU @abc7newsbayarea @nbcbayarea @CaltransD4 @CAL_FIRE @WeeklyCalipic.twitter.com/zCkQCKLhpK,CHP_Napa,2951113182,,#NapaCounty #patient,Wed Oct 23 22:49:30 +0000 2019
FREE START SMART CLASS TONIGHT!! @CHP_Napa has openings for our Start Smart class tonight 6-8pm at Napa Office tonight. This is a teen & parent class all about driver safety. May get discount from insurance too! Call (707) 253-4906 to sign up. @NapaRegister @CHP_GoldenGate,CHP_Napa,2951113182,,,Mon Sep 23 22:34:29 +0000 2019
Overturned pool supply truck on SR-29 northbound just south of Imola Ave right now. Traffic flowing but slow. #patience ⁦ @CHP_GoldenGate⁩ @NapaRegister⁩ ⁦ @CaltransD4⁩ ⁦ @NapaPD⁩ ⁦ @CAL_FIRE⁩pic.twitter.com/2ZkWGNaZAi,CHP_Napa,2951113182,,#patience,Tue Sep 03 15:21:04 +0000 2019
Massive Tree Down SR-128 between SR-29 and Silverado Trail is uncrossable. Please avoid the area while the tree is removed. ⁦ @StHelenaCA⁩ ⁦ @CAL_FIRE⁩ ⁦ @NapaSheriff⁩ ⁦ @CHP_GoldenGate⁩ ⁦ @NapaRegister⁩ ⁦ @CountyofNapa⁩ #firewood #patiencepic.twitter.com/8isip6rnuL,CHP_Napa,2951113182,,#firewood #patiencepic,Wed Aug 28 20:02:36 +0000 2019
"Traffic a bit more congested tomorrow. Silverado Trail at Pratt Ave will be closed for awhile. @CAL_FIRE @StHelenaCA NAPA CO PWD: Closure of northbound Silverado Trail at Pratt Avenue planned for Tuesday, August 27th beginning at 3pm. Click link.http://nixle.us/B9KYL",CHP_Napa,2951113182,,,Tue Aug 27 00:54:24 +0000 2019
Small #fire on SR-29 just north of Madison St near #Yountville today. @CHP_Napa Officers and @CAL_FIRE extinguished the flames in a very short time. Minimal effect to #Traffic. @CaltransD4 @NapaRegister @993thevine @CountyofNapapic.twitter.com/cGEkQ3Ww9h,CHP_Napa,2951113182,,#fire #Yountville #Traffic,Fri Aug 09 20:44:40 +0000 2019
"Traffic Update SR-12, is now completely open in #Napa County from I-80 to SR-29. @CHP_GoldenGate @ChpSolano @CaltransD4",CHP_Napa,2951113182,,#Napa,Wed Aug 07 21:34:21 +0000 2019
Traffic Alert!! SR-12 westbound is closed at Lynch Rd for Lines down on he roadway. Unknown time o reopening. Vehicles being turned around at Napa/Solano line. Avoid SR-12 entering Napa County! @CHP_GoldenGate @ChpSolano @CaltransD4 @PGE4Me @ATT #TrafficAlert #patience,CHP_Napa,2951113182,,#TrafficAlert #patience,Wed Aug 07 18:51:29 +0000 2019
What a weekend!! ⁦ @CHPSantaRosa⁩ ⁦ @CHP_GoldenGate⁩ #SonomaNats ⁦ @RaceSonoma⁩ ⁦ @CHPMarin⁩ #dispatchers https://www.facebook.com/1218474628176425/posts/2706974055993134?sfns=mo …,CHP_Napa,2951113182,,#SonomaNats #dispatchers,Mon Jul 29 17:26:39 +0000 2019
Traffic Alert!! Vegetation fire near #lakeberryessa. SR-128 will be closed from Markley Cove to Wragg Canyon RD. Use alternate routes. @NapaRegister @SolanoSheriff @ChpSolano @CalFireNews @CaltransD4 @993thevine,CHP_Napa,2951113182,,#lakeberryessa,Mon Jul 22 21:29:37 +0000 2019
Another Traffic Alert!!! SR-121 near Napa Rd in Sonoma County. #Traffic #collision with big rig and Prius. Will cause back ups both ways. @CHP_GoldenGate @sonomasheriff @SonomaNapaMarin @CountyofSonoma @CaltransD4 @CAL_FIRE @RaceSonoma @NorthBayNews,CHP_Napa,2951113182,,#Traffic #collision,Thu Jul 18 23:06:46 +0000 2019
Traffic Alert!!! SR-121 south of Wooden Valley Rd is closed in both directions due to a head on collision. Please find alternate routes. @CaltransD4 @NapaRegister @CHP_GoldenGate @ChpSolano #traffic #collision,CHP_Napa,2951113182,,#traffic #collision,Thu Jul 18 23:01:55 +0000 2019
"@CHP_Napa wishes our 4 Explorers, Jessica, Aaron, Carlos and Roberto good luck. Keep your eyes on the prize!https://twitter.com/CHPNSac/status/1150603197972484096 …",CHP_Napa,2951113182,,,Mon Jul 15 17:49:46 +0000 2019
UPDATE All lanes for SR-12 are open. Please drive safely!!,CHP_Napa,2951113182,,,Fri Jun 28 16:58:55 +0000 2019
MAJOR TRAFFIC ALERT SR-12 west of Lynch Rd has only 1 lane open due to major gravel spill & collisions due to the spill. Find alternate routes. No ETA yet for clean up to be completed. @CHP_GoldenGate @ChpSolano @NapaRegister @SolanoFire @CAL_FIRE @CaltransD4 #patience #trafficpic.twitter.com/PXJjGgXMcE,CHP_Napa,2951113182,,#patience #trafficpic,Fri Jun 28 15:39:01 +0000 2019
"It’s NASCAR Sunday @RaceSonoma! We will be here with our 1973 Dodge Cornet to answer questions, take pictures or just say “Hi”. #TSM350 @GuyFieri @CHPSantaRosa @CHPMarin @CHP_GoldenGate @sonomasheriff @NASCARONFOX @NASCARpic.twitter.com/CcBOTOk9ix",CHP_Napa,2951113182,,#TSM350,Sun Jun 23 15:02:55 +0000 2019
"NAPA CO PWD: Repairs to begin on Oak Knoll Ave, Old Sonoma Rd and Cuttings Wharf Road. More information: http://nixle.us/B4CP4 Reply with a friend's #to forward",CHP_Napa,2951113182,,#to,Tue Jun 18 04:01:24 +0000 2019
TRAFFIC ALERT!! SR-29 near St. Helena will be a mess all day due to the #napavalley wine auction today at Loius Martini Winery. Use Silverado Trail as an alternate route. #auction @StHelenaStar @CHP_GoldenGate @CaltransD4 @CAL_FIRE,CHP_Napa,2951113182,,#napavalley #auction,Fri May 31 18:50:33 +0000 2019
ROAD CLOSURE INFO FOR ⁦ @BottleRockNapa⁩ ⁦ @NapaRegister⁩ ⁦ @NapaPD⁩ ⁦ @VisitNapaValley⁩ ⁦ @NVTA_NapaValley⁩ ⁦ @CHP_GoldenGate⁩ ⁦ @CityofNapa⁩ ⁦@Napa_City_Fire⁩ ⁦ @Napadowntown⁩ https://www.facebook.com/1218474628176425/posts/2578287642195110?sfns=mo …,CHP_Napa,2951113182,,,Thu May 23 22:23:35 +0000 2019
"@BottleRockNapa is on the horizon. @CHP_Napa & @NapaPD will be there to ensure EVERYONE has a great time. We will keep you updated on road closures and where to get your @Uber, @lyft, @VineTransit and #Taxis around fairgrounds area. #Letsworktogether to make this the best on yet!",CHP_Napa,2951113182,,#Taxis #Letsworktogether,Tue May 21 01:24:44 +0000 2019
ROAD WORK IN NAPA COUNTY Be aware when driving in Napa County this week in the evening and overnight hours. ⁦ @NapaPD⁩ ⁦ @NapaSheriff⁩ ⁦ @CHP_GoldenGate⁩ ⁦ @StHelenaStar⁩ ⁦ @AmCanEagle⁩ ⁦ @AmericanCanyon⁩https://napavalleyregister.com/news/local/overnight-paving-to-close-lanes-on-highways-and-this-week/article_2cb103f7-6c1d-5c04-a9d7-2ac757cf44d7.html …,CHP_Napa,2951113182,,,Mon May 20 19:58:15 +0000 2019
Bike Rodeo at McPherson Elementary today. Lots of helmets and good times with the kids learning Ped & Bike safety. Thanks for @NapaPD and @NVUSD for letting us play! #bikerodeo #NationalPoliceWeek #NationalBikeMonth @CHP_GoldenGate @NapaRegisterpic.twitter.com/B92i0obYrb,CHP_Napa,2951113182,,#bikerodeo #NationalPoliceWeek #NationalBikeMonth,Fri May 17 17:16:38 +0000 2019
Gonna be more wet weather coming. Take your time today and the rest of the week,CHP_Napa,2951113182,,,Wed May 15 20:10:01 +0000 2019
DUI & Driver License Checkpoint happening now! We are looking out for DUI or Unlicensed Drivers tonight. Always designate a sober and licensed driver to get you or your loved ones hone safe! @CHP_GoldenGate @NapaRegister @NapaPDpic.twitter.com/x8oJ2sHubX,CHP_Napa,2951113182,,,Sun May 12 01:54:11 +0000 2019
JOB FAIR AT NAPA VALLEY COLLEGE We will be ⁦ @nvcollege⁩ until 1:30pm today trying to find the next great #officer or #dispatcher. ⁦ @CHP_GoldenGate⁩ ⁦ @NapaRegister⁩ ⁦ @VisitNapaValley⁩ ⁦ @CaltransD4⁩pic.twitter.com/hcecz210qp,CHP_Napa,2951113182,,#officer #dispatcher,Thu May 02 18:08:16 +0000 2019
SR-29 is closed from Tubbs Ln to Lake County line for overturned tanker truck in ravine. Unknown ETA for opening. Use Butts Canyon Rd at alternate route. @napacountyfire @NapaRegister @CaliforniaDFW @WeeklyCali @CaltransD4 @CHP_GoldenGate @CHP_Northernpic.twitter.com/FFNKpWltwO,CHP_Napa,2951113182,,,Thu Apr 25 22:29:58 +0000 2019
"Rest In Peace, Brotherhttps://twitter.com/CHPBaldwinPark/status/1118180376252338177 …",CHP_Napa,2951113182,,,Tue Apr 16 16:43:10 +0000 2019
Can’t wait to get the seasons started. We will see you and all the racers there!https://twitter.com/FairfieldPolice/status/1118190381890506754 …,CHP_Napa,2951113182,,,Tue Apr 16 16:41:07 +0000 2019
Fatal traffic collision on Solano Ave between Darms Lane and Hoffman Lane. Please avoid the area for our investigation. @NapaRegister @NapaSheriff @BayCityNews @TownofYountvill,CHP_Napa,2951113182,,,Tue Mar 12 23:13:29 +0000 2019
Napa Valley Marathon Update Silverado trail from Oak Knoll Ave to Calistoga is closed until approx. noon today. Please use SR-29 to access the Napa Valley. #marathon,CHP_Napa,2951113182,,#marathon,Sun Mar 03 16:19:14 +0000 2019
