Tweet,User,User_ID,Geo,HashTag,Date
Glad we could help.https://twitter.com/sonomanews/status/1178052276558204930 …,sonomasheriff,14922541,,,Sun Sep 29 05:15:39 +0000 2019
Actualización 9/28 6:16 pm: EVACUACIONES CANCELADAS en Schellville cerca de las autopistas 116/121. Se permite regresar a esta área. Tenga cuidado - los vehículos de emergencia aún se encuentran en el área.,sonomasheriff,14922541,,,Sun Sep 29 01:22:58 +0000 2019
Update 9/28 6:16pm: EVACUATIONS LIFTED in Schellville near Hwy 116/121. You may return to the area. Be cautious of emergency vehicles still in the area.,sonomasheriff,14922541,,,Sun Sep 29 01:16:53 +0000 2019
ORDEN DE EVACUACIÓN Schellville dentro de un radio de 1 milla de la intersección de las autopistas 116/121. ADVERTENCIA DE EVACUACIÓN radio de 1-2 millas de esa intersección. Evacuación debido a un incendio.,sonomasheriff,14922541,,,Sun Sep 29 00:25:17 +0000 2019
EVACUATION ORDER Schellville within 1 mile radius of Hwy 116/121. EVACUATION WARNING 1-2 mile radius of that intersection. Evacuation due to fire.,sonomasheriff,14922541,,,Sun Sep 29 00:18:56 +0000 2019
Missing Female located in Boyes Hot Springshttp://nixle.us/BBEYL,sonomasheriff,14922541,,,Mon Sep 23 00:15:17 +0000 2019
#cantmakethisstuffup https://www.instagram.com/p/B2sjmZ2Fj-Y/?igshid=a64ymw861at9 …,sonomasheriff,14922541,,#cantmakethisstuffup,Sun Sep 22 07:45:34 +0000 2019
Suicide is preventable. There is HOPE and HELP. Here are ways to get help: National Text Hotline 741741 Sonoma County Hotline 576-8181 North Bay Hotline 1-855-587-6373 National Suicide Prevention Lifeline 1-800-273-TALK http://suicideispreventable.org pic.twitter.com/xYbP4aUrtD,sonomasheriff,14922541,,,Thu Sep 12 21:45:08 +0000 2019
El @CountyofSonoma está probando los sistemas de alerta esta mañana en el norte del condado. ¿Preguntas? Llame al 211.pic.twitter.com/xM5yQzgcWH,sonomasheriff,14922541,,,Thu Sep 05 14:02:29 +0000 2019
The @CountyofSonoma is testing alert systems in north county this morning. Questions? Call 211.pic.twitter.com/UqIZYvb0ED,sonomasheriff,14922541,,,Thu Sep 05 14:00:38 +0000 2019
"Heads up Geyserville, Healdsburg, and Cloverdale...https://twitter.com/CountyofSonoma/status/1166805425452388355 …",sonomasheriff,14922541,,,Fri Aug 30 15:22:25 +0000 2019
CANCEL SHELTER IN PLACE - 400 BLOCK W AGUA CALIENTEhttp://nixle.us/B9J2J,sonomasheriff,14922541,,,Sun Aug 25 23:48:19 +0000 2019
